Query,Data_address,Label,Related
"You are a portfolio manager responsible for allocating a $1,000,000 budget among 10 different stocks to maximize the expected return after considering sector limits. You have access to data on expected returns and sector information in stock.csv, and sector membership for each stock in Sector_Mapping.csv. In addition, you are limited to pick at least 3 and at most 8 stocks, and no more than 27% of the budget can be invested in any one sector.","Large_Scale_Or_Files/Other_example/14/stock.csv
Large_Scale_Or_Files/Other_example/14/Sector_Mapping.csv","**Variables:**
- $x_i \geq 0$, $x_i \leq \text{MaxInvest}_i$, for $i = 1,\ldots,10$
where:
- $\text{MaxInvest}_1 = 250{,}000$
- $\text{MaxInvest}_2 = 200{,}000$
- $\text{MaxInvest}_3 = 180{,}000$
- $\text{MaxInvest}_4 = 240{,}000$
- $\text{MaxInvest}_5 = 220{,}000$
- $\text{MaxInvest}_6 = 150{,}000$
- $\text{MaxInvest}_7 = 130{,}000$
- $\text{MaxInvest}_8 = 120{,}000$
- $\text{MaxInvest}_9 = 110{,}000$
- $\text{MaxInvest}_{10} = 100{,}000$
- $y_i \in \{0,1\}$, for $i = 1,\ldots,10$

---

**Objective (Maximize):**
$$
Z = 0.082 x_1 + 0.073 x_2 + 0.065 x_3 + 0.089 x_4 + 0.076 x_5 + 0.091 x_6 + 0.084 x_7 + 0.068 x_8 + 0.079 x_9 + 0.087 x_{10}
$$

---

**Subject to:**

**Budget:**
$$
x_1 + x_2 + x_3 + x_4 + x_5 + x_6 + x_7 + x_8 + x_9 + x_{10} = 1{,}000{,}000
$$

**Max investment per stock:**
$$
x_1 \leq 250{,}000
$$
$$
x_2 \leq 200{,}000
$$
$$
x_3 \leq 180{,}000
$$
$$
x_4 \leq 240{,}000
$$
$$
x_5 \leq 220{,}000
$$
$$
x_6 \leq 150{,}000
$$
$$
x_7 \leq 130{,}000
$$
$$
x_8 \leq 120{,}000
$$
$$
x_9 \leq 110{,}000
$$
$$
x_{10} \leq 100{,}000
$$

**Cardinality:**
$$
3 \leq y_1 + y_2 + \cdots + y_{10} \leq 8
$$

**Linking Constraints:**
$$
x_i \leq y_i \cdot \text{MaxInvest}_i \quad \forall i=1,\ldots,10
$$

**Sector Allocations:**
$$
x_1 + x_3 + x_7 \leq 270{,}000
$$
$$
x_2 + x_5 + x_{10} \leq 270{,}000
$$
$$
x_4 + x_8 \leq 270{,}000
$$
$$
x_6 + x_9 \leq 270{,}000
$$

**Domain:**
$$
x_i \geq 0, \quad y_i \in \{0,1\}
$$",
"A retail company wants to decide where to open warehouses to minimize total costs while meeting the demands of several stores in a region. Each potential warehouse has an opening cost, and there is a known transportation cost for supplying goods to each store from each warehouse. Each warehouse has a capacity, and each store has a specific demand. The potential warehouses costs are in PotentialWarehouses_Costs.csv, demand for each store is in Stores_Demands.csv and the transportation costs c_ij from warehouse i to store j is in TransportationCost.csv

You are to determine which warehouses to open and how to assign the demand of each store to the warehouses such that all store demands are met, warehouse capacities are not exceeded, and the total cost (opening + transportation) is minimized.","Large_Scale_Or_Files/Other_example/15/PotentialWarehouses_Costs.csv
Large_Scale_Or_Files/Other_example/15/Stores_Demands.csv
Large_Scale_Or_Files/Other_example/15/TransportationCost.csv","### Facility Location LP Formulation

**Variables:**
- $x_{i,j}$: Number of units supplied from warehouse $i$ to store $j$ (continuous, $\geq 0$)
- $y_{i}$: $1$ if warehouse $i$ is opened, $0$ otherwise (binary)

---

**Objective (Minimize total cost):**

$$
\text{Minimize}\ Z =\ 3000y_1 + 3200y_2 + 3100y_3 + 2800y_4 + 3500y_5 + 2700y_6 + 2900y_7 + 3050y_8 \\
+ (12x_{1,1} + 17x_{1,2} + 13x_{1,3} + 18x_{1,4} + 10x_{1,5} + 15x_{1,6} + 14x_{1,7} + 19x_{1,8}) \\
+ (11x_{2,1} + 19x_{2,2} + 14x_{2,3} + 16x_{2,4} + 13x_{2,5} + 12x_{2,6} + 13x_{2,7} + 16x_{2,8}) \\
+ (14x_{3,1} + 15x_{3,2} + 12x_{3,3} + 17x_{3,4} + 12x_{3,5} + 14x_{3,6} + 15x_{3,7} + 18x_{3,8}) \\
+ (15x_{4,1} + 20x_{4,2} + 14x_{4,3} + 13x_{4,4} + 19x_{4,5} + 16x_{4,6} + 17x_{4,7} + 20x_{4,8}) \\
+ (17x_{5,1} + 18x_{5,2} + 16x_{5,3} + 18x_{5,4} + 15x_{5,5} + 13x_{5,6} + 12x_{5,7} + 17x_{5,8}) \\
+ (13x_{6,1} + 14x_{6,2} + 15x_{6,3} + 17x_{6,4} + 11x_{6,5} + 17x_{6,6} + 13x_{6,7} + 19x_{6,8}) \\
+ (12x_{7,1} + 17x_{7,2} + 11x_{7,3} + 14x_{7,4} + 12x_{7,5} + 16x_{7,6} + 14x_{7,7} + 16x_{7,8}) \\
+ (16x_{8,1} + 15x_{8,2} + 14x_{8,3} + 19x_{8,4} + 14x_{8,5} + 16x_{8,6} + 15x_{8,7} + 18x_{8,8})
$$

---

**Subject to:**

**Store demand constraints (for each store $j = 1, \ldots, 8$):**
$$
\sum_{i=1}^{8} x_{i, j} = d_j
$$
where
$$
% d_1 = 30 \\
% d_2 = 40 \\
% d_3 = 20 \\
% d_4 = 35 \\
% d_5 = 20 \\
% d_6 = 25 \\
% d_7 = 45 \\
% d_8 = 38
d = [30,40,20,35,20,25,45,38]
$$

**Warehouse capacity constraints (for each warehouse $i = 1, \ldots, 8$):**
$$
\sum_{j=1}^{8} x_{i, j} \leq c_i y_i
$$
where
$$
% c_1 = 180 \\
% c_2 = 160 \\
% c_3 = 200 \\
% c_4 = 150 \\
% c_5 = 170 \\
% c_6 = 190 \\
% c_7 = 160 \\
% c_8 = 175
c = [180,160,200,150,170,190,160,175]
$$

**Domain:**
$$
x_{i,j} \geq 0 \quad \text{for all } i, j \\
y_i \in \{0,1\} \quad \text{for all } i
$$",
"A financial institution wants to form a revenue-maximizing portfolio by investing in a selection of 10 structured financial products (e.g., CDOs, CLOs, MBS, etc.). Each product provides a specific expected revenue per unit invested, involves exposure to various risk factors (market, credit, interest rate, etc.), and is subject to upper limits on allocation in ProductCharacteristics_IndividualCaps.csv. The portfolio must satisfy regulatory risk exposure limits for 10 types of risk in RiskFactorLimits.csv, adhere to product-specific allocation caps, and meet a minimum investment guideline in each risk factor.

Your task:
Maximize expected portfolio revenue while satisfying the diversification/risk constraints and allocation bounds.","Large_Scale_Or_Files/Other_example/16/ProductCharacteristics_IndividualCaps.csv
Large_Scale_Or_Files/Other_example/16/RiskFactorLimits.csv","Let $\mathbf{x} = [x_1,x_2,\ldots,x_{10}]^\top$ be the vector of investment amounts (in million dollars). 
Let each constraint coefficient vector be $\mathbf{m}, \mathbf{c}, \mathbf{i}, \mathbf{f}, \mathbf{l}, \mathbf{r}, \mathbf{e}, \mathbf{v}, \mathbf{g}$ as defined below.

---

**Objective:**
$$
\text{Maximize} \quad Z = \mathbf{p} \cdot \mathbf{x} = \sum_{i=1}^{10} p_i x_i
$$
where $\mathbf{p} = [73,76,65,70,68,75,67,74,69,72]$.

---

**Subject to:**

**Total invested:**
$$
\sum_{i=1}^{10} x_i \leq 35
$$

**Box constraints:**
$$
\mathbf{0} \leq \mathbf{x} \leq \mathbf{u}
$$
where $\mathbf{u} = [12,8,10,9,7,11,8,10,9,12]$.

---

**Risk factor limits (all written as vector dot products):**

- Market Risk:
$$
\mathbf{m} \cdot \mathbf{x} \leq 42
$$
where $\mathbf{m} = [5.1,6.0,3.8,5.3,4.8,6.7,4.0,5.8,4.7,5.6]$

- Credit Risk:
$$
\mathbf{c} \cdot \mathbf{x} \leq 50
$$
where $\mathbf{c} = [6.2,7.1,5.7,6.4,6.1,6.5,5.8,6.3,6.0,6.6]$

- Interest Rate Risk:
$$
\mathbf{i} \cdot \mathbf{x} \leq 29
$$
where $\mathbf{i} = [3.4,3.8,2.9,3.2,3.1,4.1,3.0,3.7,3.3,3.5]$

- FX Risk:
$$
\mathbf{f} \cdot \mathbf{x} \leq 39
$$
where $\mathbf{f} = [4.2,4.6,3.4,4.8,4.0,5.1,3.7,4.9,4.1,4.5]$

- Liquidity Risk:
$$
\mathbf{l} \cdot \mathbf{x} \leq 25
$$
where $\mathbf{l} = [2.8,2.6,2.4,3.3,2.9,3.7,2.5,3.0,2.8,2.7]$

- IR Risk:
$$
\mathbf{r} \cdot \mathbf{x} \leq 49
$$
where $\mathbf{r} = [5.9,4.8,6.2,5.1,4.9,6.3,5.6,6.1,5.2,5.4]$

- Equity Risk:
$$
\mathbf{e} \cdot \mathbf{x} \leq 25
$$
where $\mathbf{e} = [2.7,2.5,2.2,2.6,2.3,3.0,2.4,2.9,2.7,2.8]$

- Volatility:
$$
\mathbf{v} \cdot \mathbf{x} \leq 36
$$
where $\mathbf{v} = [4.5,5.1,3.9,4.8,4.4,5.4,4.0,5.0,4.3,4.7]$

- Regulatory Risk:
$$
\mathbf{g} \cdot \mathbf{x} \leq 27
$$
where $\mathbf{g} = [2.2,3.0,2.7,2.5,2.4,3.3,2.6,3.2,2.3,2.8]$

---

**Domain:**
$$
x_i \geq 0 \quad \text{for all } i = 1, \ldots, 10
$$",
"A factory processes three types of components: A, B, and C. The unit time required in the rough processing, fine processing, and packaging is in processing_time_unit.csv, the unit price of each component is in unit_price.csv, and the total time limits for each workshop is shown in total_working_hours.csv. How should production be arranged to achieve maximum total output value?","Large_Scale_Or_Files/Other_example/17/processing_time_unit.csv
Large_Scale_Or_Files/Other_example/17/unit_price.csv
Large_Scale_Or_Files/Other_example/17/total_working_hours.csv","### Linear Programming Model

**Objective:**
$$
\max\ Z = 30x_1 + 20x_2 + 50x_3
$$

**Subject to:**
$$
\begin{align*}
x_1 + 2x_2 + x_3 &\leq 430 \\
3x_1 + 2x_3 &\leq 460 \\
x_1 + 4x_2 &\leq 420 \\
x_1 \geq 0,\quad x_2 \geq 0,\quad x_3 \geq 0
\end{align*}
$$",
"A bank is planning its loan allocation strategy across 7 different industry sectors (S1, S2, S3, S4, S5, S6, S7). Within each of these sectors, the bank can provide loans across up to 6 loan types, labeled L1 through L6 (for example: Short-Term, Medium-Term, Long-Term, Consumer, SME, and Real Estate).

The bank has the following data, organized in three separate CSV tables:

ProjectedInterestIncome.csv:
Each cell represents the expected interest income earned per million dollars invested in a given combination of sector and loan type (sector *loan type).

RiskWeight.csv:
Each cell shows the estimated risk weight associated with lending one million dollars in the corresponding combination of sector and loan type.
(Risk weights reflect factors such as the financial health of the sector, characteristics of the loan type, and current macroeconomic trends.)

LendingAllocationCaps.csv:
Each cell indicates the maximum allowable allocation (in millions of dollars) that can be lent in each combination of industry sector and loan type.

The bank wants to determine a lending allocation plan across the sectors and loan types to maximize the total expected interest income while:
Do not exceeding the per-loan-type allocation (per sector) caps;
Total risk-weighted exposure must stay below a regulatory cap: Total risk-weighted exposure cap: $14.0$;
Minimum lending requirement: The total lending across all sectors and loan types must be at least $30 million;
All allocations must be in integer millions.","Large_Scale_Or_Files/Other_example/18/ProjectedInterestIncome.csv
Large_Scale_Or_Files/Other_example/18/RiskWeight.csv
Large_Scale_Or_Files/Other_example/18/LendingAllocationCaps.csv","### 1. Interest Rates Matrix $\boldsymbol{A} = [a_{ij}]$ (income per million lent)
$$
\mathbf{A} =
\begin{bmatrix}
46 & 38 & 41 & 43 & 40 & 37 & 45 \\
44 & 39 & 43 & 41 & 39 & 38 & 41 \\
47 & 36 & 40 & 45 & 42 & 34 & 43 \\
42 & 40 & 41 & 42 & 43 & 39 & 44 \\
48 & 38 & 38 & 44 & 43 & 37 & 46 \\
46 & 37 & 42 & 41 & 41 & 35 & 45
\end{bmatrix}
$$

---

### 2. Risk Coefficients Matrix $\boldsymbol{R} = [r_{ij}]$ (risk per million lent)
$$
\mathbf{R} =
\begin{bmatrix}
0.13 & 0.12 & 0.17 & 0.10 & 0.14 & 0.13 & 0.18 \\
0.11 & 0.12 & 0.16 & 0.13 & 0.13 & 0.11 & 0.17 \\
0.15 & 0.13 & 0.19 & 0.13 & 0.15 & 0.14 & 0.18 \\
0.12 & 0.15 & 0.15 & 0.12 & 0.13 & 0.13 & 0.15 \\
0.18 & 0.13 & 0.21 & 0.16 & 0.19 & 0.13 & 0.20 \\
0.14 & 0.15 & 0.14 & 0.15 & 0.15 & 0.12 & 0.14
\end{bmatrix}
$$

---

### 3. Lending Caps Matrix $\boldsymbol{C} = [c_{ij}]$ (max million per lender-sector)
$$
\mathbf{C} =
\begin{bmatrix}
7 & 5 & 4 & 8 & 6 & 5 & 7 \\
6 & 7 & 5 & 7 & 6 & 4 & 5 \\
5 & 6 & 6 & 6 & 5 & 5 & 4 \\
8 & 5 & 7 & 8 & 6 & 6 & 5 \\
7 & 6 & 6 & 7 & 7 & 4 & 5 \\
6 & 5 & 5 & 7 & 5 & 7 & 6
\end{bmatrix}
$$

---

### 4. **Global Constraints**
- Max Total Risk: $R_{\max} = 14.0$
- Min Total Lending: $L_{\min} = 30$

---

#### **Decision Variables**
- $x_{ij} \in \mathbb{Z}_+$ : Amount lent (in million) by lender $i$ to sector $j$.

---

#### **Objective Function**

Maximize total interest income:
$$
\max \sum_{i=1}^{6} \sum_{j=1}^{7} a_{ij}\, x_{ij}
$$

---

#### **Constraints**

1. **Lending Capacity** (per lender-sector pair):
$$
x_{ij} \leq c_{ij} \qquad \forall i \in \{1,\dots,6\},\ j \in \{1,\dots,7\}
$$

2. **Total Risk Limit**:
$$
\sum_{i=1}^{6} \sum_{j=1}^{7} r_{ij} x_{ij} \leq 14.0
$$

3. **Minimum Total Lending**:
$$
\sum_{i=1}^{6} \sum_{j=1}^{7} x_{ij} \geq 30
$$

4. **Non-negativity and Integrality:**
$$
x_{ij} \geq 0,\quad x_{ij} \in \mathbb{Z} \qquad \forall i, j
$$

---

### **Key Properties**
- **Total Variables:** $6 \times 7 = 42$
- **Total Constraints:**
- 42 capacity constraints (one per $x_{ij}$)
- 1 risk constraint
- 1 lending constraint
- **Total:** 44 constraints
- **Solution Type:** Integer Linear Programming (ILP)",
"A company is planning a digital marketing campaign for 5 products (P1, P2, P3, P4, P5) targeted to 7 distinct user groups (U1, U2, U3, U4, U5, U6, U7). Given the following data (provided in CSV files):

ConversionRate.csv: Predicted conversion probability from exposure to purchase for every [Product, User Group] combination.
CostperExposure.csv: Cost incurred per exposure for each [Product, User Group] combination in dollars.
BrandFitScore.csv: Brand fit score (decimal) for each (Product, UserGroup) pair. Score indicating how well each product matches each user group's preferences.
ExposureCaps(per User Group).csv: Maximum exposures allowed for each (Product, UserGroup) pair (hard cap per pair).
ProductMinExposures.csv: The minimum total exposure of each product. The total exposure of a product should be the sum of the exposure of all 7 user groups.
To avoid spamming, each user group has a maximum number of exposures they can receive across all products. Each product has a minimum campaign exposure requirement for market presence, and the average brand fit across all exposures must not be below a set target. ExposureCaps(per User Group).csv states the information of risk exposure of each product of each user group; ProductMinExposure.csv shows the minimum exposure requirement of each product. User group exposures for each product cannot exceed the value in the cell of ExposureCaps(per User Group).csv. Each product must have at least the ""Product min exposures"" across all groups in ProductMinExposures.csv.

Total marketing budget: $2,100 (i.e., exposures *cost must not exceed this sum)
Average brand fit (across all exposures) must be at least 0.75.
All exposures must be integers (send whole exposures).

Goal:
Choose the number of exposures for every product-user group pair to maximize expected conversion probabilities, under all constraints.","Large_Scale_Or_Files/Other_example/19/ConversionRate.csv
Large_Scale_Or_Files/Other_example/19/CostperExposure.csv
Large_Scale_Or_Files/Other_example/19/BrandFitScore.csv
Large_Scale_Or_Files/Other_example/19/ExposureCaps(perUserGroup).csv
Large_Scale_Or_Files/Other_example/19/ProductMinExposures.csv","### Mathematical Formulation

**Sets:** 
- $i \in \{1,2,3,4,5\}$: Products (P1 to P5) 
- $j \in \{1,2,3,4,5,6,7\}$: User groups (U1 to U7) 

**Decision Variables:** 
- $x_{ij} \in \mathbb{Z}_+$: Number of exposures of product $i$ to user group $j$ 

---

**Objective Function:** 
Maximize total expected conversions: 
$$
\max \sum_{i=1}^{5} \sum_{j=1}^{7} r_{ij} \cdot x_{ij}
$$ 
where $r_{ij}$ = conversion rate for (product $i$, user group $j$) 

---

**Constraints:** 

1. **Exposure Caps** (per product-user group pair): 
$$
x_{ij} \leq c^{\text{cap}}_{ij} \quad \forall i,j
$$ 

2. **Total Budget Limit**: 
$$
\sum_{i=1}^{5} \sum_{j=1}^{7} c^{\text{cost}}_{ij} \cdot x_{ij} \leq 2100
$$ 

3. **Minimum Exposures per Product**: 
$$
\sum_{j=1}^{7} x_{ij} \geq p_i \quad \forall i
$$ 
where $p_i$ = minimum exposures for product $i$ 

4. **Average Brand Fit**: 
$$
\sum_{i=1}^{5} \sum_{j=1}^{7} b_{ij} \cdot x_{ij} \geq 0.75 \cdot \left( \sum_{i=1}^{5} \sum_{j=1}^{7} x_{ij} \right)
$$ 

5. **Non-negativity and Integrality**: 
$$
x_{ij} \geq 0 \text{ and integer} \quad \forall i,j
$$ 

---

### Coefficient Matrices

#### 1. Conversion Rates ($r_{ij}$):

$$
\mathbf{R} = \begin{bmatrix}
0.12 & 0.10 & 0.11 & 0.13 & 0.09 & 0.10 & 0.10 \\
0.15 & 0.13 & 0.12 & 0.09 & 0.12 & 0.08 & 0.11 \\
0.09 & 0.14 & 0.16 & 0.11 & 0.11 & 0.13 & 0.09 \\
0.07 & 0.15 & 0.12 & 0.13 & 0.14 & 0.13 & 0.13 \\
0.11 & 0.13 & 0.13 & 0.12 & 0.13 & 0.10 & 0.14
\end{bmatrix}
$$

#### 2. Costs per Exposure ($c^{\text{cost}}_{ij}$) (\$):

$$
\mathbf{C}_{\text{cost}} = \begin{bmatrix}
7 & 6 & 9 & 8 & 8 & 7 & 7 \\
9 & 7 & 7 & 7 & 9 & 8 & 8 \\
8 & 8 & 10 & 8 & 9 & 8 & 7 \\
6 & 7 & 9 & 7 & 7 & 8 & 9 \\
8 & 6 & 7 & 9 & 8 & 6 & 10
\end{bmatrix}
$$

#### 3. Brand Fit Scores ($b_{ij}$):

$$
\mathbf{B} = \begin{bmatrix}
0.75 & 0.68 & 0.72 & 0.80 & 0.65 & 0.70 & 0.73 \\
0.80 & 0.75 & 0.80 & 0.70 & 0.78 & 0.74 & 0.81 \\
0.65 & 0.78 & 0.82 & 0.76 & 0.74 & 0.79 & 0.69 \\
0.60 & 0.85 & 0.69 & 0.80 & 0.83 & 0.76 & 0.77 \\
0.81 & 0.73 & 0.75 & 0.78 & 0.83 & 0.68 & 0.88
\end{bmatrix}
$$

#### 4. Exposure Caps ($c^{\text{cap}}_{ij}$):

$$
\mathbf{C}_{\text{cap}} = \begin{bmatrix}
10 & 8 & 12 & 9 & 7 & 10 & 11 \\
11 & 9 & 10 & 12 & 8 & 9 & 8 \\
7 & 10 & 13 & 8 & 12 & 11 & 7 \\
8 & 9 & 8 & 10 & 12 & 7 & 8 \\
12 & 7 & 8 & 9 & 11 & 10 & 13
\end{bmatrix}
$$

#### 5. Minimum Exposures per Product ($p_i$):

$$
\mathbf{p} = \begin{bmatrix}
15 \\ 16 \\ 20 \\ 14 \\ 17
\end{bmatrix}
$$",
"A farm has 100 hectares of land, 15,000 yuan of capital, and a labor force of 3,500 person-days in autumn/winter and 4,000 person-days in spring/summer.

The farm plans to:
_ Plant soybeans, corn, and wheat, which require land and labor but no additional capital investment.
_ Raise cows (costing 400 yuan each, using 1.5 hectares of land, and requiring 100 person-days in autumn/winter and 50 in spring/summer).
_ Raise chickens (costing 3 yuan each, requiring no land, and needing 0.6 and 0.3 person-days in the two seasons, respectively).

The farm infrastructure limits herd size to 32 cows and 3,000 chickens.
Any unused labor can work externally, earning 1.8 yuan/person-day in autumn/winter and 2.1 yuan/person-day in spring/summer.

The labor requirements and net income (per hectare per year) for the crops are: are shown in 2.csv.
Decide the planting areas, number of cows and chickens to raise, and surplus labor allocated to external work, to maximize total annual net income, including crop and livestock profits, less animal costs, plus earnings from external work.",Large_Scale_Or_Files/Other_example/2.csv,"$$
\max Z = 175 x_s + 300 x_c + 120 x_w - 400 y_b - 3 y_h + 1.8 e_{aw} + 2.1 e_{ss}
$$

$$
x_s + x_c + x_w + 1.5 y_b \leq 100
$$

$$
400 y_b + 3 y_h \leq 15,000
$$

$$
20 x_s + 35 x_c + 10 x_w + 100 y_b + 0.6 y_h + e_{aw} = 3,500
$$

$$
50 x_s + 75 x_c + 40 x_w + 50 y_b + 0.3 y_h + e_{ss} = 4,000
$$

$$
y_b \leq 32
$$

$$
y_h \leq 3,000
$$

$$
x_s, x_c, x_w, y_b, y_h, e_{aw}, e_{ss} \geq 0, y_b \in Z, y_h \in Z
$$",
"A convenience store plans to open several chain stores in a new residential area in the northwest suburbs of the city. To facilitate shopping, the distance from any residential area to one of the chain stores should not exceed $800 \mathrm{~m}$. 5.csv gives the newly built residential areas and the various areas within a radius of $800 \mathrm{~m}$ of each residential area. How many chain stores should the supermarket build in the above-mentioned areas and in which areas should they be built?",Large_Scale_Or_Files/Other_example/5.csv,"## Mathematical Model

**Minimize**

$$
y_A + y_B + y_C + y_D + y_E + y_F + y_G + y_H + y_I + y_J + y_K + y_L
$$

**subject to**

$$
y_A + y_C + y_E + y_G + y_H + y_I \geq 1 \quad (\text{cover A})
$$

$$
y_B + y_H + y_I \geq 1 \quad (\text{cover B})
$$

$$
y_A + y_C + y_G + y_H + y_I \geq 1 \quad (\text{cover C})
$$

$$
y_D + y_J \geq 1 \quad (\text{cover D})
$$

$$
y_A + y_E + y_G \geq 1 \quad (\text{cover E})
$$

$$
y_F + y_J + y_K \geq 1 \quad (\text{cover F})
$$

$$
y_A + y_C + y_E + y_G \geq 1 \quad (\text{cover G})
$$

$$
y_A + y_B + y_C + y_H + y_I \geq 1 \quad (\text{cover H})
$$

$$
y_A + y_B + y_C + y_H + y_I \geq 1 \quad (\text{cover I})
$$

$$
y_D + y_F + y_J + y_K + y_L \geq 1 \quad (\text{cover J})
$$

$$
y_F + y_J + y_K + y_L \geq 1 \quad (\text{cover K})
$$

$$
y_J + y_K + y_L \geq 1 \quad (\text{cover L})
$$

**where**

$$
y_i \in \{0,1\}, \quad i \in \{A, B, C, D, E, F, G, H, I, J, K, L\}
$$",
"A product can be processed on any one of the four devices A, B, C, or D. The setup completion cost for each device when it is activated, the unit cost of production for the product, and the maximum processing capacity for each device are known as shown in 6.csv. How can the total cost be minimized to produce 2000 units of the product? Try to establish a mathematical model.",Large_Scale_Or_Files/Other_example/6.csv,"## Mathematical Model

**Minimize**

$$
1000\, y_A + 20\, x_A 
+ 920\, y_B + 24\, x_B 
+ 800\, y_C + 16\, x_C 
+ 700\, y_D + 28\, x_D
$$

**subject to**

$$
x_A + x_B + x_C + x_D = 2000
$$

$$
x_A \leq 900\, y_A
$$

$$
x_B \leq 1000\, y_B
$$

$$
x_C \leq 1200\, y_C
$$

$$
x_D \leq 1600\, y_D
$$

**where**

$$
x_A, x_B, x_C, x_D \geq 0 \quad (\text{continuous})
$$

$$
y_A, y_B, y_C, y_D \in \{0,1\} \quad (\text{binary})
$$",
"A factory plans to produce three types of products, I, II, and III, which require processing on devices A, B, and C, respectively. The data is shown in 8.csv.
How can the factory fully utilize the capacity of the devices to maximize profit?",Large_Scale_Or_Files/Other_example/8.csv,"## Mathematical Model

**Maximize**

$$
3\, x_1 + 2\, x_2 + 2.9\, x_3
$$

**subject to**

$$
8\, x_1 + 2\, x_2 + 10\, x_3 \leq 300 \quad (\text{Device A capacity})
$$

$$
10\, x_1 + 5\, x_2 + 8\, x_3 \leq 400 \quad (\text{Device B capacity})
$$

$$
2\, x_1 + 13\, x_2 + 10\, x_3 \leq 420 \quad (\text{Device C capacity})
$$

**where**

$$
x_1, x_2, x_3 \geq 0 \quad (\text{continuous})
$$",
"The number of drivers and crew members required for each time period of a certain day and night service bus route is shown in 9.csv.

Assuming the drivers and crew members start working at the beginning of each time period and work continuously for eight hours, how many drivers and crew members should be equipped for this bus route at least? Provide the linear programming model for this problem.",Large_Scale_Or_Files/Other_example/9.csv,"## Mathematical Model

**Minimize**

$$
x_1 + x_2 + x_3 + x_4 + x_5 + x_6
$$

**subject to**

$$
x_1 + x_6 \geq 60 \quad (\text{shift 1 requirement})
$$

$$
x_1 + x_2 \geq 70 \quad (\text{shift 2 requirement})
$$

$$
x_2 + x_3 \geq 60 \quad (\text{shift 3 requirement})
$$

$$
x_3 + x_4 \geq 50 \quad (\text{shift 4 requirement})
$$

$$
x_4 + x_5 \geq 20 \quad (\text{shift 5 requirement})
$$

$$
x_5 + x_6 \geq 30 \quad (\text{shift 6 requirement})
$$

**where**

$$
x_1, x_2, x_3, x_4, x_5, x_6 \geq 0 \quad (\text{integer})
$$",
"Now we need to determine 4 out of 5 workers to each complete one of the four tasks. Since each worker has different skill sets, the amount of time required for each worker to complete each task is also different. The time required for each worker to complete each task is shown in 15.csv.

Try to find a work assignment plan that minimizes the total working hours.",Large_Scale_Or_Files/Other_example/15.csv,"## Mathematical Model

**Minimize**

$$
9\, x_{1A} + 4\, x_{1B} + 3\, x_{1C} + 7\, x_{1D}
+ 4\, x_{2A} + 6\, x_{2B} + 5\, x_{2C} + 6\, x_{2D}
+ 5\, x_{3A} + 4\, x_{3B} + 7\, x_{3C} + 5\, x_{3D}
+ 7\, x_{4A} + 5\, x_{4B} + 2\, x_{4C} + 3\, x_{4D}
+10\, x_{5A} + 6\, x_{5B} + 7\, x_{5C} + 4\, x_{5D}
$$

**subject to**

$$
x_{1A} + x_{2A} + x_{3A} + x_{4A} + x_{5A} = 1 
\quad (\text{task A assigned})
$$

$$
x_{1B} + x_{2B} + x_{3B} + x_{4B} + x_{5B} = 1 
\quad (\text{task B assigned})
$$

$$
x_{1C} + x_{2C} + x_{3C} + x_{4C} + x_{5C} = 1 
\quad (\text{task C assigned})
$$

$$
x_{1D} + x_{2D} + x_{3D} + x_{4D} + x_{5D} = 1 
\quad (\text{task D assigned})
$$

$$
x_{1A} + x_{1B} + x_{1C} + x_{1D} \leq 1 
\quad (\text{worker I at most one task})
$$

$$
x_{2A} + x_{2B} + x_{2C} + x_{2D} \leq 1 
\quad (\text{worker II at most one task})
$$

$$
x_{3A} + x_{3B} + x_{3C} + x_{3D} \leq 1 
\quad (\text{worker III at most one task})
$$

$$
x_{4A} + x_{4B} + x_{4C} + x_{4D} \leq 1 
\quad (\text{worker IV at most one task})
$$

$$
x_{5A} + x_{5B} + x_{5C} + x_{5D} \leq 1 
\quad (\text{worker V at most one task})
$$

$$
x_{1A} + x_{1B} + x_{1C} + x_{1D}
+ x_{2A} + x_{2B} + x_{2C} + x_{2D}
+ x_{3A} + x_{3B} + x_{3C} + x_{3D}
+ x_{4A} + x_{4B} + x_{4C} + x_{4D}
+ x_{5A} + x_{5B} + x_{5C} + x_{5D} = 4
\quad (\text{total 4 assignments})
$$

**where**

$$
x_{ij} \in \{0,1\}, 
\quad i = 1,\ldots,5 \ (\text{workers}), 
\quad j = A,\ldots,D \ (\text{tasks})
$$",
