prompt,Data_address,Label,Related
"A bank is planning its loan allocation strategy across 7 different industry sectors (S1, S2, S3, S4, S5, S6, S7). Within each of these sectors, the bank can provide loans across up to 6 loan types, labeled L1 through L6 (for example: Short-Term, Medium-Term, Long-Term, Consumer, SME, and Real Estate).

The bank has the following data, organized in three separate CSV tables:

ProjectedInterestIncome.csv:
Each cell represents the expected interest income earned per million dollars invested in a given combination of sector and loan type (sector *loan type).

RiskWeight.csv:
Each cell shows the estimated risk weight associated with lending one million dollars in the corresponding combination of sector and loan type.
(Risk weights reflect factors such as the financial health of the sector, characteristics of the loan type, and current macroeconomic trends.)

LendingAllocationCaps.csv:
Each cell indicates the maximum allowable allocation (in millions of dollars) that can be lent in each combination of industry sector and loan type.

The bank wants to determine a lending allocation plan across the sectors and loan types to maximize the total expected interest income while:
Do not exceeding the per-loan-type allocation (per sector) caps;
Total risk-weighted exposure must stay below a regulatory cap: Total risk-weighted exposure cap: $14.0$;
Minimum lending requirement: The total lending across all sectors and loan types must be at least $30 million;
All allocations must be in integer millions.","Large_Scale_Or_Files/Other_example/18/ProjectedInterestIncome.csv
Large_Scale_Or_Files/Other_example/18/RiskWeight.csv
Large_Scale_Or_Files/Other_example/18/LendingAllocationCaps.csv","### 1. Interest Rates Matrix $\boldsymbol{A} = [a_{ij}]$ (income per million lent)
$$
\mathbf{A} =
\begin{bmatrix}
46 & 38 & 41 & 43 & 40 & 37 & 45 \\
44 & 39 & 43 & 41 & 39 & 38 & 41 \\
47 & 36 & 40 & 45 & 42 & 34 & 43 \\
42 & 40 & 41 & 42 & 43 & 39 & 44 \\
48 & 38 & 38 & 44 & 43 & 37 & 46 \\
46 & 37 & 42 & 41 & 41 & 35 & 45
\end{bmatrix}
$$

---

### 2. Risk Coefficients Matrix $\boldsymbol{R} = [r_{ij}]$ (risk per million lent)
$$
\mathbf{R} =
\begin{bmatrix}
0.13 & 0.12 & 0.17 & 0.10 & 0.14 & 0.13 & 0.18 \\
0.11 & 0.12 & 0.16 & 0.13 & 0.13 & 0.11 & 0.17 \\
0.15 & 0.13 & 0.19 & 0.13 & 0.15 & 0.14 & 0.18 \\
0.12 & 0.15 & 0.15 & 0.12 & 0.13 & 0.13 & 0.15 \\
0.18 & 0.13 & 0.21 & 0.16 & 0.19 & 0.13 & 0.20 \\
0.14 & 0.15 & 0.14 & 0.15 & 0.15 & 0.12 & 0.14
\end{bmatrix}
$$

---

### 3. Lending Caps Matrix $\boldsymbol{C} = [c_{ij}]$ (max million per lender-sector)
$$
\mathbf{C} =
\begin{bmatrix}
7 & 5 & 4 & 8 & 6 & 5 & 7 \\
6 & 7 & 5 & 7 & 6 & 4 & 5 \\
5 & 6 & 6 & 6 & 5 & 5 & 4 \\
8 & 5 & 7 & 8 & 6 & 6 & 5 \\
7 & 6 & 6 & 7 & 7 & 4 & 5 \\
6 & 5 & 5 & 7 & 5 & 7 & 6
\end{bmatrix}
$$

---

### 4. **Global Constraints**
- Max Total Risk: $R_{\max} = 14.0$
- Min Total Lending: $L_{\min} = 30$

---

#### **Decision Variables**
- $x_{ij} \in \mathbb{Z}_+$ : Amount lent (in million) by lender $i$ to sector $j$.

---

#### **Objective Function**

Maximize total interest income:
$$
\max \sum_{i=1}^{6} \sum_{j=1}^{7} a_{ij}\, x_{ij}
$$

---

#### **Constraints**

1. **Lending Capacity** (per lender-sector pair):
$$
x_{ij} \leq c_{ij} \qquad \forall i \in \{1,\dots,6\},\ j \in \{1,\dots,7\}
$$

2. **Total Risk Limit**:
$$
\sum_{i=1}^{6} \sum_{j=1}^{7} r_{ij} x_{ij} \leq 14.0
$$

3. **Minimum Total Lending**:
$$
\sum_{i=1}^{6} \sum_{j=1}^{7} x_{ij} \geq 30
$$

4. **Non-negativity and Integrality:**
$$
x_{ij} \geq 0,\quad x_{ij} \in \mathbb{Z} \qquad \forall i, j
$$

---

### **Key Properties**
- **Total Variables:** $6 \times 7 = 42$
- **Total Constraints:**
- 42 capacity constraints (one per $x_{ij}$)
- 1 risk constraint
- 1 lending constraint
- **Total:** 44 constraints
- **Solution Type:** Integer Linear Programming (ILP)",
"A company is planning a digital marketing campaign for 5 products (P1, P2, P3, P4, P5) targeted to 7 distinct user groups (U1, U2, U3, U4, U5, U6, U7). Given the following data (provided in CSV files):

ConversionRate.csv: Predicted conversion probability from exposure to purchase for every [Product, User Group] combination.
CostperExposure.csv: Cost incurred per exposure for each [Product, User Group] combination in dollars.
BrandFitScore.csv: Brand fit score (decimal) for each (Product, UserGroup) pair. Score indicating how well each product matches each user group's preferences.
ExposureCaps(per User Group).csv: Maximum exposures allowed for each (Product, UserGroup) pair (hard cap per pair).
ProductMinExposures.csv: The minimum total exposure of each product. The total exposure of a product should be the sum of the exposure of all 7 user groups.
To avoid spamming, each user group has a maximum number of exposures they can receive across all products. Each product has a minimum campaign exposure requirement for market presence, and the average brand fit across all exposures must not be below a set target. ExposureCaps(per User Group).csv states the information of risk exposure of each product of each user group; ProductMinExposure.csv shows the minimum exposure requirement of each product. User group exposures for each product cannot exceed the value in the cell of ExposureCaps(per User Group).csv. Each product must have at least the ""Product min exposures"" across all groups in ProductMinExposures.csv.

Total marketing budget: $2,100 (i.e., exposures *cost must not exceed this sum)
Average brand fit (across all exposures) must be at least 0.75.
All exposures must be integers (send whole exposures).

Goal:
Choose the number of exposures for every product-user group pair to maximize expected conversion probabilities, under all constraints.","Large_Scale_Or_Files/Other_example/19/ConversionRate.csv
Large_Scale_Or_Files/Other_example/19/CostperExposure.csv
Large_Scale_Or_Files/Other_example/19/BrandFitScore.csv
Large_Scale_Or_Files/Other_example/19/ExposureCaps(perUserGroup).csv
Large_Scale_Or_Files/Other_example/19/ProductMinExposures.csv","### Mathematical Formulation

**Sets:** 
- $i \in \{1,2,3,4,5\}$: Products (P1 to P5) 
- $j \in \{1,2,3,4,5,6,7\}$: User groups (U1 to U7) 

**Decision Variables:** 
- $x_{ij} \in \mathbb{Z}_+$: Number of exposures of product $i$ to user group $j$ 

---

**Objective Function:** 
Maximize total expected conversions: 
$$
\max \sum_{i=1}^{5} \sum_{j=1}^{7} r_{ij} \cdot x_{ij}
$$ 
where $r_{ij}$ = conversion rate for (product $i$, user group $j$) 

---

**Constraints:** 

1. **Exposure Caps** (per product-user group pair): 
$$
x_{ij} \leq c^{\text{cap}}_{ij} \quad \forall i,j
$$ 

2. **Total Budget Limit**: 
$$
\sum_{i=1}^{5} \sum_{j=1}^{7} c^{\text{cost}}_{ij} \cdot x_{ij} \leq 2100
$$ 

3. **Minimum Exposures per Product**: 
$$
\sum_{j=1}^{7} x_{ij} \geq p_i \quad \forall i
$$ 
where $p_i$ = minimum exposures for product $i$ 

4. **Average Brand Fit**: 
$$
\sum_{i=1}^{5} \sum_{j=1}^{7} b_{ij} \cdot x_{ij} \geq 0.75 \cdot \left( \sum_{i=1}^{5} \sum_{j=1}^{7} x_{ij} \right)
$$ 

5. **Non-negativity and Integrality**: 
$$
x_{ij} \geq 0 \text{ and integer} \quad \forall i,j
$$ 

---

### Coefficient Matrices

#### 1. Conversion Rates ($r_{ij}$):

$$
\mathbf{R} = \begin{bmatrix}
0.12 & 0.10 & 0.11 & 0.13 & 0.09 & 0.10 & 0.10 \\
0.15 & 0.13 & 0.12 & 0.09 & 0.12 & 0.08 & 0.11 \\
0.09 & 0.14 & 0.16 & 0.11 & 0.11 & 0.13 & 0.09 \\
0.07 & 0.15 & 0.12 & 0.13 & 0.14 & 0.13 & 0.13 \\
0.11 & 0.13 & 0.13 & 0.12 & 0.13 & 0.10 & 0.14
\end{bmatrix}
$$

#### 2. Costs per Exposure ($c^{\text{cost}}_{ij}$) (\$):

$$
\mathbf{C}_{\text{cost}} = \begin{bmatrix}
7 & 6 & 9 & 8 & 8 & 7 & 7 \\
9 & 7 & 7 & 7 & 9 & 8 & 8 \\
8 & 8 & 10 & 8 & 9 & 8 & 7 \\
6 & 7 & 9 & 7 & 7 & 8 & 9 \\
8 & 6 & 7 & 9 & 8 & 6 & 10
\end{bmatrix}
$$

#### 3. Brand Fit Scores ($b_{ij}$):

$$
\mathbf{B} = \begin{bmatrix}
0.75 & 0.68 & 0.72 & 0.80 & 0.65 & 0.70 & 0.73 \\
0.80 & 0.75 & 0.80 & 0.70 & 0.78 & 0.74 & 0.81 \\
0.65 & 0.78 & 0.82 & 0.76 & 0.74 & 0.79 & 0.69 \\
0.60 & 0.85 & 0.69 & 0.80 & 0.83 & 0.76 & 0.77 \\
0.81 & 0.73 & 0.75 & 0.78 & 0.83 & 0.68 & 0.88
\end{bmatrix}
$$

#### 4. Exposure Caps ($c^{\text{cap}}_{ij}$):

$$
\mathbf{C}_{\text{cap}} = \begin{bmatrix}
10 & 8 & 12 & 9 & 7 & 10 & 11 \\
11 & 9 & 10 & 12 & 8 & 9 & 8 \\
7 & 10 & 13 & 8 & 12 & 11 & 7 \\
8 & 9 & 8 & 10 & 12 & 7 & 8 \\
12 & 7 & 8 & 9 & 11 & 10 & 13
\end{bmatrix}
$$

#### 5. Minimum Exposures per Product ($p_i$):

$$
\mathbf{p} = \begin{bmatrix}
15 \\ 16 \\ 20 \\ 14 \\ 17
\end{bmatrix}
$$",
"A farm has 100 hectares of land, 15,000 yuan of capital, and a labor force of 3,500 person-days in autumn/winter and 4,000 person-days in spring/summer.

The farm plans to:
_ Plant soybeans, corn, and wheat, which require land and labor but no additional capital investment.
_ Raise cows (costing 400 yuan each, using 1.5 hectares of land, and requiring 100 person-days in autumn/winter and 50 in spring/summer).
_ Raise chickens (costing 3 yuan each, requiring no land, and needing 0.6 and 0.3 person-days in the two seasons, respectively).

The farm infrastructure limits herd size to 32 cows and 3,000 chickens.
Any unused labor can work externally, earning 1.8 yuan/person-day in autumn/winter and 2.1 yuan/person-day in spring/summer.

The labor requirements and net income (per hectare per year) for the crops are: are shown in 2.csv.
Decide the planting areas, number of cows and chickens to raise, and surplus labor allocated to external work, to maximize total annual net income, including crop and livestock profits, less animal costs, plus earnings from external work.",Large_Scale_Or_Files/Other_example/2.csv,"$$
\max Z = 175 x_s + 300 x_c + 120 x_w - 400 y_b - 3 y_h + 1.8 e_{aw} + 2.1 e_{ss}
$$

$$
x_s + x_c + x_w + 1.5 y_b \leq 100
$$

$$
400 y_b + 3 y_h \leq 15,000
$$

$$
20 x_s + 35 x_c + 10 x_w + 100 y_b + 0.6 y_h + e_{aw} = 3,500
$$

$$
50 x_s + 75 x_c + 40 x_w + 50 y_b + 0.3 y_h + e_{ss} = 4,000
$$

$$
y_b \leq 32
$$

$$
y_h \leq 3,000
$$

$$
x_s, x_c, x_w, y_b, y_h, e_{aw}, e_{ss} \geq 0, y_b \in Z, y_h \in Z
$$",
"A product can be processed on any one of the four devices A, B, C, or D. The setup completion cost for each device when it is activated, the unit cost of production for the product, and the maximum processing capacity for each device are known as shown in 6.csv. How can the total cost be minimized to produce 2000 units of the product? Try to establish a mathematical model.",Large_Scale_Or_Files/Other_example/6.csv,"## Mathematical Model

**Minimize**

$$
1000\, y_A + 20\, x_A 
+ 920\, y_B + 24\, x_B 
+ 800\, y_C + 16\, x_C 
+ 700\, y_D + 28\, x_D
$$

**subject to**

$$
x_A + x_B + x_C + x_D = 2000
$$

$$
x_A \leq 900\, y_A
$$

$$
x_B \leq 1000\, y_B
$$

$$
x_C \leq 1200\, y_C
$$

$$
x_D \leq 1600\, y_D
$$

**where**

$$
x_A, x_B, x_C, x_D \geq 0 \quad (\text{continuous})
$$

$$
y_A, y_B, y_C, y_D \in \{0,1\} \quad (\text{binary})
$$",
"The number of drivers and crew members required for each time period of a certain day and night service bus route is shown in 9.csv.

Assuming the drivers and crew members start working at the beginning of each time period and work continuously for eight hours, how many drivers and crew members should be equipped for this bus route at least? Provide the linear programming model for this problem.",Large_Scale_Or_Files/Other_example/9.csv,"## Mathematical Model

**Minimize**

$$
x_1 + x_2 + x_3 + x_4 + x_5 + x_6
$$

**subject to**

$$
x_1 + x_6 \geq 60 \quad (\text{shift 1 requirement})
$$

$$
x_1 + x_2 \geq 70 \quad (\text{shift 2 requirement})
$$

$$
x_2 + x_3 \geq 60 \quad (\text{shift 3 requirement})
$$

$$
x_3 + x_4 \geq 50 \quad (\text{shift 4 requirement})
$$

$$
x_4 + x_5 \geq 20 \quad (\text{shift 5 requirement})
$$

$$
x_5 + x_6 \geq 30 \quad (\text{shift 6 requirement})
$$

**where**

$$
x_1, x_2, x_3, x_4, x_5, x_6 \geq 0 \quad (\text{integer})
$$",
"""There are 7 tasks that must be run on 3 CPUs, with frequencies of 1.33, 2, and $2.66 \mathrm{GHz}$ respectively (each processor can only run one task at a time). The basic instructions (in billions of instructions, BI) for each task are stored in 18.csv

Arrange the tasks onto the processors to minimize the completion time of the last task. Use COPTPY to solve the problem.""",Large_Scale_Or_Files/Other_example/18.csv,"## Mathematical Model

**Minimize**

$$
C_{\max}
$$

**subject to**

$$
x_{1,1} + x_{2,1} + x_{3,1} = 1 \quad (\text{task 1 assigned})
$$

$$
x_{1,2} + x_{2,2} + x_{3,2} = 1 \quad (\text{task 2 assigned})
$$

$$
x_{1,3} + x_{2,3} + x_{3,3} = 1 \quad (\text{task 3 assigned})
$$

$$
x_{1,4} + x_{2,4} + x_{3,4} = 1 \quad (\text{task 4 assigned})
$$

$$
x_{1,5} + x_{2,5} + x_{3,5} = 1 \quad (\text{task 5 assigned})
$$

$$
x_{1,6} + x_{2,6} + x_{3,6} = 1 \quad (\text{task 6 assigned})
$$

$$
x_{1,7} + x_{2,7} + x_{3,7} = 1 \quad (\text{task 7 assigned})
$$

**CPU time constraints**

$$
\frac{1.1}{1.33}x_{1,1} + \frac{2.1}{1.33}x_{1,2} + \frac{3}{1.33}x_{1,3}
+ \frac{1}{1.33}x_{1,4} + \frac{0.7}{1.33}x_{1,5} + \frac{5}{1.33}x_{1,6}
+ \frac{3}{1.33}x_{1,7} \leq C_{\max}
\quad (\text{CPU 1 time})
$$

$$
\frac{1.1}{2}x_{2,1} + \frac{2.1}{2}x_{2,2} + \frac{3}{2}x_{2,3}
+ \frac{1}{2}x_{2,4} + \frac{0.7}{2}x_{2,5} + \frac{5}{2}x_{2,6}
+ \frac{3}{2}x_{2,7} \leq C_{\max}
\quad (\text{CPU 2 time})
$$

$$
\frac{1.1}{2.66}x_{3,1} + \frac{2.1}{2.66}x_{3,2} + \frac{3}{2.66}x_{3,3}
+ \frac{1}{2.66}x_{3,4} + \frac{0.7}{2.66}x_{3,5} + \frac{5}{2.66}x_{3,6}
+ \frac{3}{2.66}x_{3,7} \leq C_{\max}
\quad (\text{CPU 3 time})
$$

**where**

$$
x_{i,j} \in \{0,1\} 
\quad (\text{binary, indicates if task } j \text{ assigned to CPU } i)
$$

$$
C_{\max} \geq 0 
\quad (\text{continuous, completion time})
$$",
"Red Bean Clothing Factory uses three specialized machines to produce shirts, short-sleeved shirts, and casual wear. The labor, material, selling price, and variable cost per unit for the three products are given in 41.csv.

It is known that the factory has a weekly labor capacity of 150 units and a material capacity of 160 units. The fixed costs per week for producing shirts, short-sleeved shirts, and casual wear with the specialized machines are 2000, 1500, and 1000, respectively. The factory incurs a total fixed cost of $4500 per week, regardless of how many products are produced. Design a weekly production plan for the factory to maximize profit.",Large_Scale_Or_Files/Other_example/41.csv,"## Mathematical Model

**Maximize**

$$
Z = 60\, x_1 + 40\, x_2 + 100\, x_3 - 4500
$$

**subject to**

$$
3\, x_1 + 2\, x_2 + 6\, x_3 \leq 150 
\quad (\text{labor constraint})
$$

$$
4\, x_1 + 3\, x_2 + 6\, x_3 \leq 160 
\quad (\text{material constraint})
$$

**where**

$$
x_1, x_2, x_3 \geq 0
$$

$$
x_1 = \text{shirts}, 
\quad x_2 = \text{short-sleeved shirts}, 
\quad x_3 = \text{casual wear}
$$",
"For a certain daytime and nighttime service bus route, the number of drivers and crew members required during each time period is given in 42.csv:

Assuming that the drivers and crew members start working at the beginning of each time period and work continuously for 8 hours, how many drivers and crew members should be assigned to this bus route at least? Write down the linear programming model for this problem.",Large_Scale_Or_Files/Other_example/42.csv,"## Mathematical Model

**Minimize**

$$
x_1 + x_2 + x_3 + x_4 + x_5 + x_6
$$

**subject to**

$$
x_1 + x_6 \geq 60 \quad (\text{shift 1 requirement})
$$

$$
x_1 + x_2 \geq 70 \quad (\text{shift 2 requirement})
$$

$$
x_2 + x_3 \geq 60 \quad (\text{shift 3 requirement})
$$

$$
x_3 + x_4 \geq 50 \quad (\text{shift 4 requirement})
$$

$$
x_4 + x_5 \geq 20 \quad (\text{shift 5 requirement})
$$

$$
x_5 + x_6 \geq 30 \quad (\text{shift 6 requirement})
$$

**where**

$$
x_1, x_2, x_3, x_4, x_5, x_6 \geq 0 
\quad \text{and are integers}
$$",
"A certain restaurant operates 24 hours a day and requires a minimum number of waitstaff as shown in 44.csv.

Each waitstaff works continuously for 8 hours a day. The goal is to find the minimum number of waitstaff that satisfies the above conditions and represent this problem as a linear programming model.",Large_Scale_Or_Files/Other_example/44.csv,"## Mathematical Model

**Minimize**

$$
x_1 + x_2 + x_3 + x_4 + x_5 + x_6
$$

**subject to**

$$
x_1 + x_6 \geq 4 
\quad (\text{coverage from 2am to 6am})
$$

$$
x_1 + x_2 \geq 8 
\quad (\text{coverage from 6am to 10am})
$$

$$
x_2 + x_3 \geq 10 
\quad (\text{coverage from 10am to 2pm})
$$

$$
x_3 + x_4 \geq 4 
\quad (\text{coverage from 2pm to 6pm})
$$

$$
x_4 + x_5 \geq 8 
\quad (\text{coverage from 6pm to 10pm})
$$

$$
x_5 + x_6 \geq 4 
\quad (\text{coverage from 10pm to 2am})
$$

**where**

$$
x_1, x_2, x_3, x_4, x_5, x_6 \geq 0 
\quad \text{and are integers}
$$",
"A company has a fixed investment budget and is evaluating a series of potential investment projects. Each project requires an initial investment and is expected to generate a specific Net Present Value (NPV). The company's goal is to select a portfolio of projects that will maximize the total expected NPV while ensuring that the total investment does not exceed the available budget, as described in project.csv. The company's total budget is $1000000.",Large_Scale_Or_Files/Other_example/1/project.csv,"\[
\max Z = 60x_{1} + 50x_{2} + 45x_{3} + 35x_{4} +28x_{5}
\]


\[
50x_{1} + 40x_{2} + 30x_{3} + 25x_{4} + 20x_{5}
\le 1000000
\]


\[
x_{j} \in \{0,1\},\quad j = 1,2,3,4,5
\]",
"A shopping centre needs to select items for display. Currently there are 5 items, each with a value and weight limit. The merchandise counter holds 15 units of weight. The value and weight information for the items is shown in table value.csv. The goal is to select a number of items so that the total value is maximized and the total weight does not exceed the weight.",Large_Scale_Or_Files/Other_example/4/value.csv,"**Objective Function:** 
\[
\max Z = 10x_{1} + 40x_{2} + 30x_{3} + 50x_{4} + 35x_{5}
\]

**Constraint:** 
\[
2x_{1} + 5x_{2} + 4x_{3} + 8x_{4} + 7x_{5}
\le 15
\]

**Decision Variables:** 
\[
x_{i} \in \{0,1\}, \quad i = 1,2,3,4,5
\]",
"In a regional electricity market, an electric utility is required to make purchasing and scheduling decisions for generation resources for a future planning period. The company has a choice of three main types of generation: coal, gas and renewables. Since contracts with suppliers are usually purchased on a 'lot' basis, where each lot corresponds to a fixed amount of generation and orders must be placed in whole lots, as described in energy.csv, the company needs to meet its total demand (200) and minimize costs.",Large_Scale_Or_Files/Other_example/6/energy.csv,"**Objective Function:** 
\[
\min Z = 40x_{1} + 30x_{2} + 25x_{3}
\]

**Constraint:** 
\[
50x_{1} +30x_{2} +20x_{3}
\ge 200
\]

**Decision Variables:** 
\[
x_{i} \in \mathbb{R}, \quad i = 1,2,3
\]",
"A factory produces five products (P1-P5), each of which needs to be purchased in batches of a fixed 10 units each. The production of each unit consumes resources R1-R3, respectively; the total supply of resources is finite;The total amount of resource R1 is 300, the total amount of resource R2 is 250 , and the total amount of resource R3 is 200 and there is an upper demand for each product, with product information in project.csv. The objective is to maximize the total profit while satisfying the resource and demand constraints.",Large_Scale_Or_Files/Other_example/7/project.csv,"**Objective Function:** 
\[
\max Z = 500x_{1} + 600x_{2} +400x_{3} + 300x_{4} +200x_{5}
\]

**Constraints:** 
\[
20x_{1} + 40x_{2} + 10x_{3} + 30x_{4} + 20x_{5} \le300
\] 
\[
30x_{1} + 10x_{2} + 20x_{3} + 20x_{4} + 10x_{5} \le250
\] 
\[
10x_{1} + 20x_{2} + 30x_{3} + 20x_{4} + 10x_{5} \le 200
\] 
\[
x_{1} \le 10
\] 
\[
x_{2} \le 8
\] 
\[
x_{3} \le 6
\] 
\[
x_{4} \le 5
\] 
\[
x_{5} \le 4
\]

**Decision Variables:** 
\[
x_{i} \in \mathbb{Z}, \quad i = 1,2,3,4,5
\]",
